Region,Location,Total
Southern,Alabama,12025
Pacific,Alaska,626
,American Samoa,1
Pacific,Arizona,13284
Southern,Arkansas,5006
Pacific,California,119845
Western,Colorado,11624
Northern,Connecticut,10255
Northern,Delaware,3053
,District of Columbia,15173
Southern,Florida,101452
Southern,Georgia,42067
,Guam,82
Pacific,Hawaii,2430
Western,Idaho,856
Central,Illinois,34681
Central,Indiana,9595
Central,Iowa,1952
Western,Kansas,2807
Central,Kentucky,5849
Southern,Louisiana,19201
Northern,Maine,1193
Northern,Maryland,31890
Northern,Massachusetts,18839
Central,Michigan,15439
Central,Minnesota,7306
Southern,Mississippi,9036
Central,Missouri,11968
Western,Montana,396
Western,Nebraska,1839
Pacific,Nevada,7689
Northern,New Hampshire,1178
Northern,New Jersey,37832
Western,New Mexico,2677
Northern,New York,130691
Southern,North Carolina,26770
Western,North Dakota,218
,Northern Mariana Islands,2
Central,Ohio,19441
Western,Oklahoma,5433
Pacific,Oregon,5383
Northern,Pennsylvania,32547
,Puerto Rico,18574
,Republic of Palau,4
Northern,Rhode Island,2168
Southern,South Carolina,15550
Western,South Dakota,494
Southern,Tennessee,16133
Western,Texas,73959
,U.S. Virgin Islands,623
Pacific,Utah,2565
Northern,Vermont,445
Southern,Virginia,21774
Pacific,Washington,11441
Southern,West Virginia,1664
Central,Wisconsin,5535
Western,Wyoming,249
